sku,title,subtitle,description,price,compare_at_price,currency,category,sign,type,provider,provider_sku,image,tags,bundle_items
A-HOOD-ARIES,Aries Zodiac Hoodie,Premium celestial hoodie,A premium black hoodie featuring an elegant Aries zodiac emblem with subtle gold accents.,110.00,0,GBP,Men,Aries,apparel,printful,PRF-HOOD-001,A-HOOD-ARIES-image.webp,"zodiac,apparel,hoodie,fire",
A-HOOD-TAURUS,Taurus Zodiac Hoodie,Luxury earth-tone hoodie,A luxury hoodie with the Taurus symbol rendered in refined gold over deep earth-tone fabric.,110.00,0,GBP,Men,Taurus,apparel,printful,PRF-HOOD-002,A-HOOD-TAURUS-image.webp,"zodiac,apparel,hoodie,earth",
A-HOOD-GEMINI,Gemini Zodiac Hoodie,Celestial twin-themed hoodie,A celestial-themed hoodie showcasing the Gemini twins in a balanced gold illustration.,110.00,0,GBP,Men,Gemini,apparel,printful,PRF-HOOD-003,A-HOOD-GEMINI-image.webp,"zodiac,apparel,hoodie,air",
A-HOOD-CANCER,Cancer Zodiac Hoodie,Lunar-inspired premium hoodie,"A soft, premium hoodie with the Cancer glyph framed by gentle lunar-themed gold details.",110.00,0,GBP,Men,Cancer,apparel,printful,PRF-HOOD-004,A-HOOD-CANCER-image.webp,"zodiac,apparel,hoodie,water",
A-HOOD-LEO,Leo Zodiac Hoodie,Bold lion symbol hoodie,A bold designer hoodie featuring the Leo lion symbol in radiant metallic gold.,110.00,0,GBP,Men,Leo,apparel,printful,PRF-HOOD-005,A-HOOD-LEO-image.webp,"zodiac,apparel,hoodie,fire",
A-HOOD-VIRGO,Virgo Zodiac Hoodie,Minimalist maiden hoodie,A minimalist hoodie displaying the Virgo maiden emblem in delicate gold line art.,110.00,0,GBP,Men,Virgo,apparel,printful,PRF-HOOD-006,A-HOOD-VIRGO-image.webp,"zodiac,apparel,hoodie,earth",
A-HOOD-LIBRA,Libra Zodiac Hoodie,Balanced scales hoodie,"A refined hoodie featuring balanced scales in gold, inspired by the LYRIÓN Tree-of-Balance.",110.00,0,GBP,Men,Libra,apparel,printful,PRF-HOOD-007,A-HOOD-LIBRA-image.webp,"zodiac,apparel,hoodie,air",
A-HOOD-SCORPIO,Scorpio Zodiac Hoodie,Striking cosmic hoodie,A striking black hoodie adorned with a gold Scorpio emblem and subtle cosmic texture.,110.00,0,GBP,Men,Scorpio,apparel,printful,PRF-HOOD-008,A-HOOD-SCORPIO-image.webp,"zodiac,apparel,hoodie,water",
A-HOOD-SAGITTARIUS,Sagittarius Zodiac Hoodie,Archer-symbol hoodie,A designer hoodie highlighting the Sagittarius archer symbol with elegant golden detailing.,110.00,0,GBP,Men,Sagittarius,apparel,printful,PRF-HOOD-009,A-HOOD-SAGITTARIUS-image.webp,"zodiac,apparel,hoodie,fire",
A-HOOD-CAPRICORN,Capricorn Zodiac Hoodie,Sea-goat luxury hoodie,A premium hoodie showing the Capricorn sea-goat symbol in classic luxury gold.,110.00,0,GBP,Men,Capricorn,apparel,printful,PRF-HOOD-010,A-HOOD-CAPRICORN-image.webp,"zodiac,apparel,hoodie,earth",
A-HOOD-AQUARIUS,Aquarius Zodiac Hoodie,Water-bearer celestial hoodie,A celestial hoodie with the Aquarius water-bearer glyph surrounded by flowing gold accents.,110.00,0,GBP,Men,Aquarius,apparel,printful,PRF-HOOD-011,A-HOOD-AQUARIUS-image.webp,"zodiac,apparel,hoodie,air",
A-HOOD-PISCES,Pisces Zodiac Hoodie,Serene fish-motif hoodie,A serene hoodie displaying intertwined Pisces fish in a soft gold cosmic motif.,110.00,0,GBP,Men,Pisces,apparel,printful,PRF-HOOD-012,A-HOOD-PISCES-image.webp,"zodiac,apparel,hoodie,water",
A-TEE-ARIES,Aries Zodiac Tee,Minimalist fire-symbol tee,A minimalist Aries zodiac T-shirt featuring gold fire-symbol artwork on premium cotton.,65.00,0,GBP,Women,Aries,apparel,gelato,GLT-TEE-001,A-TEE-ARIES-image.webp,"zodiac,apparel,tee,fire",
A-TEE-TAURUS,Taurus Zodiac Tee,Earthy luxury tee,"A clean, earthy Taurus T-shirt with a subtle luxury gold zodiac emblem.",65.00,0,GBP,Women,Taurus,apparel,gelato,GLT-TEE-002,A-TEE-TAURUS-image.webp,"zodiac,apparel,tee,earth",
A-TEE-GEMINI,Gemini Zodiac Tee,Twin-symbol celestial tee,A celestial Gemini tee showcasing twin-symbol line art in metallic gold.,65.00,0,GBP,Women,Gemini,apparel,gelato,GLT-TEE-003,A-TEE-GEMINI-image.webp,"zodiac,apparel,tee,air",
A-TEE-CANCER,Cancer Zodiac Tee,Moon-inspired soft tee,A soft white tee featuring the Cancer glyph with moon-inspired gold detailing.,65.00,0,GBP,Women,Cancer,apparel,gelato,GLT-TEE-004,A-TEE-CANCER-image.webp,"zodiac,apparel,tee,water",
A-TEE-LEO,Leo Zodiac Tee,Bold lion centerpiece tee,A bold Leo tee with a radiant gold lion-symbol centerpiece.,65.00,0,GBP,Women,Leo,apparel,gelato,GLT-TEE-005,A-TEE-LEO-image.webp,"zodiac,apparel,tee,fire",
A-TEE-VIRGO,Virgo Zodiac Tee,Refined maiden tee,A minimalist Virgo tee with a refined gold silhouette of the maiden.,65.00,0,GBP,Women,Virgo,apparel,gelato,GLT-TEE-006,A-TEE-VIRGO-image.webp,"zodiac,apparel,tee,earth",
A-TEE-LIBRA,Libra Zodiac Tee,Golden scales tee,A balanced Libra tee featuring golden scales inspired by cosmic symmetry.,65.00,0,GBP,Women,Libra,apparel,gelato,GLT-TEE-007,A-TEE-LIBRA-image.webp,"zodiac,apparel,tee,air",
A-TEE-SCORPIO,Scorpio Zodiac Tee,Sharp scorpion tee,"A statement Scorpio T-shirt with a sleek, sharp gold scorpion emblem.",65.00,0,GBP,Women,Scorpio,apparel,gelato,GLT-TEE-008,A-TEE-SCORPIO-image.webp,"zodiac,apparel,tee,water",
A-TEE-SAGITTARIUS,Sagittarius Zodiac Tee,Elegant archer tee,A Sagittarius tee featuring an elegant golden archer motif on soft cotton.,65.00,0,GBP,Women,Sagittarius,apparel,gelato,GLT-TEE-009,A-TEE-SAGITTARIUS-image.webp,"zodiac,apparel,tee,fire",
A-TEE-CAPRICORN,Capricorn Zodiac Tee,Modern sea-goat tee,A modern Capricorn tee with a gold sea-goat glyph and subtle celestial texture.,65.00,0,GBP,Women,Capricorn,apparel,gelato,GLT-TEE-010,A-TEE-CAPRICORN-image.webp,"zodiac,apparel,tee,earth",
A-TEE-AQUARIUS,Aquarius Zodiac Tee,Flowing water-bearer tee,A clean Aquarius T-shirt featuring flowing gold water-bearer symbolism.,65.00,0,GBP,Women,Aquarius,apparel,gelato,GLT-TEE-011,A-TEE-AQUARIUS-image.webp,"zodiac,apparel,tee,air",
A-TEE-PISCES,Pisces Zodiac Tee,Dreamy fish constellation tee,A dreamy Pisces tee with intertwined gold fish and soft constellation accents.,65.00,0,GBP,Women,Pisces,apparel,gelato,GLT-TEE-012,A-TEE-PISCES-image.webp,"zodiac,apparel,tee,water",
K-HOOD-MOON-ARIES,Moon Girls Aries Hoodie,Lunar fire spirit hoodie,Lunar fire spirit hoodie,75.00,0,GBP,Moon Girls,Aries,kids,printify,PFY-KIDS-001,K-HOOD-MOON-ARIES-image.webp,"zodiac,kids,hoodie,moon girls",
K-HOOD-MOON-TAURUS,Moon Girls Taurus Hoodie,Earthy moon maiden hoodie,Earthy moon maiden hoodie,75.00,0,GBP,Moon Girls,Taurus,kids,printify,PFY-KIDS-002,K-HOOD-MOON-TAURUS-image.webp,"zodiac,kids,hoodie,moon girls",
K-HOOD-MOON-GEMINI,Moon Girls Gemini Hoodie,Twin stars youth hoodie,Twin stars youth hoodie,75.00,0,GBP,Moon Girls,Gemini,kids,printify,PFY-KIDS-003,K-HOOD-MOON-GEMINI-image.webp,"zodiac,kids,hoodie,moon girls",
K-HOOD-MOON-CANCER,Moon Girls Cancer Hoodie,Gentle lunar hoodie,Gentle lunar hoodie,75.00,0,GBP,Moon Girls,Cancer,kids,printify,PFY-KIDS-004,K-HOOD-MOON-CANCER-image.webp,"zodiac,kids,hoodie,moon girls",
K-TEE-MOON-LEO,Moon Girls Leo Tee,Bold moon lion tee,Bold moon lion tee,45.00,0,GBP,Moon Girls,Leo,kids,printify,PFY-KIDS-TEE-001,K-TEE-MOON-LEO-image.webp,"zodiac,kids,tee,moon girls",
K-TEE-MOON-VIRGO,Moon Girls Virgo Tee,Gentle maiden moon tee,Gentle maiden moon tee,45.00,0,GBP,Moon Girls,Virgo,kids,printify,PFY-KIDS-TEE-002,K-TEE-MOON-VIRGO-image.webp,"zodiac,kids,tee,moon girls",
K-HOOD-STAR-ARIES,Star Boys Aries Hoodie,Warrior star hoodie,Warrior star hoodie,75.00,0,GBP,Star Boys,Aries,kids,printify,PFY-BOYS-001,K-HOOD-STAR-ARIES-image.webp,"zodiac,kids,hoodie,star boys",
K-HOOD-STAR-LEO,Star Boys Leo Hoodie,Lion constellation hoodie,Lion constellation hoodie,75.00,0,GBP,Star Boys,Leo,kids,printify,PFY-BOYS-002,K-HOOD-STAR-LEO-image.webp,"zodiac,kids,hoodie,star boys",
